label,message,clean_message,tokens,processed_message,target
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,"['go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amor', 'wat']",go jurong point crazi avail bugi n great world la e buffet cine got amor wat,0
ham,Ok lar... Joking wif u oni...,ok lar joking wif u oni,"['ok', 'lar', 'joke', 'wif', 'u', 'oni']",ok lar joke wif u oni,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry questionstd txt ratetcs apply over s,"['free', 'entri', 'wkli', 'comp', 'win', 'fa', 'cup', 'final', 'tkt', 'st', 'may', 'text', 'fa', 'receiv', 'entri', 'questionstd', 'txt', 'ratetc', 'appli']",free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli,1
ham,U dun say so early hor... U c already then say...,u dun say so early hor u c already then say,"['u', 'dun', 'say', 'earli', 'hor', 'u', 'c', 'alreadi', 'say']",u dun say earli hor u c alreadi say,0
ham,"Nah I don't think he goes to usf, he lives around here though",nah i dont think he goes to usf he lives around here though,"['nah', 'dont', 'think', 'goe', 'usf', 'live', 'around', 'though']",nah dont think goe usf live around though,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send å£ to rcv,"['freemsg', 'hey', 'darl', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chg', 'send', 'å£', 'rcv']",freemsg hey darl week word back id like fun still tb ok xxx std chg send å£ rcv,1
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even my brother is not like to speak with me they treat me like aids patent,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']",even brother like speak treat like aid patent,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,"['per', 'request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend', 'callertun']",per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner as a valued network customer you have been selected to receivea å£ prize reward to claim call claim code kl valid hours only,"['winner', 'valu', 'network', 'custom', 'select', 'receivea', 'å£', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hour']",winner valu network custom select receivea å£ prize reward claim call claim code kl valid hour,1
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,"['mobil', 'month', 'u', 'r', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'mobil', 'updat', 'co', 'free']",mobil month u r entitl updat latest colour mobil camera free call mobil updat co free,1
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,"['im', 'gon', 'na', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']",im gon na home soon dont want talk stuff anymor tonight k ive cri enough today,0
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply reply hl info,"['six', 'chanc', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'pday', 'day', 'tsandc', 'appli', 'repli', 'hl', 'info']",six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info,1
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won a week free membership in our å£ prize jackpot txt the word claim to no tc lccltd pobox ldnw a rw,"['urgent', 'week', 'free', 'membership', 'å£', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'lccltd', 'pobox', 'ldnw', 'rw']",urgent week free membership å£ prize jackpot txt word claim tc lccltd pobox ldnw rw,1
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,"['ive', 'search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']",ive search right word thank breather promis wont take help grant fulfil promis wonder bless time,0
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will,"['date', 'sunday']",date sunday,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclubcomnqjkgighjjgcbl,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'xxxmobilemovieclubcomnqjkgighjjgcbl']",xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl,1
ham,Oh k...i'm watching here:),oh kim watching here,"['oh', 'kim', 'watch']",oh kim watch,0
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how spell his name yes i did he v naughty make until i v wet,"['eh', 'u', 'rememb', 'spell', 'name', 'ye', 'v', 'naughti', 'make', 'v', 'wet']",eh u rememb spell name ye v naughti make v wet,0
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine if thatåõs the way u feel thatåõs the way its gota b,"['fine', 'thatåõ', 'way', 'u', 'feel', 'thatåõ', 'way', 'gota', 'b']",fine thatåõ way u feel thatåõ way gota b,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txtì¼ poboxox w wq,"['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', 'eg', 'england', 'trywal', 'scotland', 'txtì¼', 'poboxox', 'w', 'wq']",england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland txtì¼ poboxox w wq,1
ham,Is that seriously how you spell his name?,is that seriously how you spell his name,"['serious', 'spell', 'name']",serious spell name,0
ham,IÛ÷m going to try for 2 months ha ha only joking,iû÷m going to try for months ha ha only joking,"['i\x89û÷m', 'go', 'tri', 'month', 'ha', 'ha', 'joke']",iû÷m go tri month ha ha joke,0
ham,So Ì_ pay first lar... Then when is da stock comin...,so ì pay first lar then when is da stock comin,"['ì', 'pay', 'first', 'lar', 'da', 'stock', 'comin']",ì pay first lar da stock comin,0
