processed_message,target
go jurong point crazi avail bugi n great world la e buffet cine got amor wat,0
ok lar joke wif u oni,0
free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli,1
u dun say earli hor u c alreadi say,0
nah dont think goe usf live around though,0
freemsg hey darl week word back id like fun still tb ok xxx std chg send å£ rcv,1
even brother like speak treat like aid patent,0
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0
winner valu network custom select receivea å£ prize reward claim call claim code kl valid hour,1
mobil month u r entitl updat latest colour mobil camera free call mobil updat co free,1
im gon na home soon dont want talk stuff anymor tonight k ive cri enough today,0
six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info,1
urgent week free membership å£ prize jackpot txt word claim tc lccltd pobox ldnw rw,1
ive search right word thank breather promis wont take help grant fulfil promis wonder bless time,0
date sunday,0
xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl,1
oh kim watch,0
eh u rememb spell name ye v naughti make v wet,0
fine thatåõ way u feel thatåõ way gota b,0
england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland txtì¼ poboxox w wq,1
serious spell name,0
iû÷m go tri month ha ha joke,0
ì pay first lar da stock comin,0
aft finish lunch go str lor ard smth lor u finish ur lunch alreadi,0
ffffffffff alright way meet sooner,0
forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol,0
lol alway convinc,0
catch bu fri egg make tea eat mom left dinner feel love,0
im back amp pack car ill let know there room,0
ahhh work vagu rememb feel like lol,0
wait that still clear sure sarcast that x doesnt want live us,0
yeah got v apologet n fallen actin like spoilt child got caught till wont go badli cheer,0
k tell anyth,0
fear faint housework quick cuppa,0
thank subscript rington uk mobil charg å£ month pleas confirm repli ye repli charg,1
yup ok go home look time msg ì xuhui go learn nd may lesson,0
oop ill let know roommat done,0
see letter b car,0
anyth lor u decid,0
hello how saturday go text see youd decid anyth tomo im tri invit anyth,0
pl go ahead watt want sure great weekend abiola,0
forget tell want need crave love sweet arabian steed mmmmmm yummi,0
rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow,1
see,0
great hope like man well endow ltgt inch,0
callsmessagesmiss call,0
didnt get hep b immunis nigeria,0
fair enough anyth go,0
yeah hope tyler cant could mayb ask around bit,0
u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker,0
think first time saw class,0
gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,0
k fyi x ride earli tomorrow morn he crash place tonight,0
wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass,0
sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,1
know mallika sherawat yesterday find lturlgt,0
congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss,1
sorri ill call later meet,0
tell reach,0
yesgauti sehwag odi seri,0
gon na pick burger way home cant even move pain kill,0
ha ha ha good joke girl situat seeker,0
part check iq,0
sorri roommat took forev ok come,0
ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,0
valu custom pleas advis follow recent review mob award å£ bonu prize call,1
today song dedic day song u dedic send ur valuabl frnd first rpli,0
urgent ur award complimentari trip eurodisinc trav acoentri å£ claim txt di å£ morefrmmob shracomorsglsuplt ls aj,1
hear new divorc barbi come ken stuff,1
plane give month end,0
wah lucki man save money hee,0
finish class,0
hi babe im home wan na someth xx,0
kkwhere youhow perform,0
u call,0
wait machan call free,0
that cool gentleman treat digniti respect,0
like peopl much shi pa,0
oper ltgt,0
still look job much ta earn,0
sorri ill call later,0
k call ah,0
ok way home hi hi,0
place man,0
yup next stop,0
call later dont network urgnt sm,0
real u get yo need ticket one jacket im done alreadi use multi,0
ye start send request make pain came back im back bed doubl coin factori got ta cash nitro,0
im realli still tonight babe,0
ela kanoil download come wen ur free,0
yeah donû÷t stand close tho youû÷ll catch someth,0
sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuff moro includ time sheet sorri,0
smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile,0
pleas call custom servic repres pm guarante å£ cash å£ prize,1
havent plan buy later check alreadi lido got show e afternoon u finish work alreadi,0
free rington wait collect simpli text password mix verifi get usher britney fml,1
watch telugu moviewat abt u,0
see finish load loan pay,0
hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham,0
pleas dont text anymor noth els say,0
okay name ur price long legal wen pick u ave x am xx,0
im still look car buy gone drive test yet,0
wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,0
umma life vava umma love lot dear,0
thank lot wish birthday thank make birthday truli memor,0
aight ill hit get cash,0
would ip address test consid comput isnt minecraft server,0
know grumpi old peopl mom like better lie alway one play joke,0
dont worri guess he busi,0
plural noun research,0
go dinnermsg,0
im ok wif co like tri new thing scare u dun like mah co u said loud,0
gent tri contact last weekend draw show å£ prize guarante call claim code k valid hr ppm,1
wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen,0
enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went,0
winner u special select receiv å£ holiday flight inc speak live oper claim pmin,1
goodo ye must speak friday eggpotato ratio tortilla need,0
hmmmi uncl inform he pay school directli pl buy food,0
privat account statement show unredeem bonu point claim call identifi code expir,1
urgent mobil award å£ bonu caller prize final tri contact u call landlin box wr c ppm,1
new address applespairsal malarki,0
today voda number end select receiv award match pleas call quot claim code standard rate app,1
go sao mu today done,0
ìï predict wat time ìll finish buy,0
good stuff,0
knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis,0
room,0
hey girl r u hope u r well del r bak long time c give call sum time lucyxx,0
kkhow much cost,0
im home,0
dear call tmorrowpl accomod,0
first answer question,0
sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr å£ sptyron,1
want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt ec,1
haf msn,0
call meet,0
check room befor activ,0
youll rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri,1
got c lazi type forgot ì lect saw pouch like v nice,0
k text your way,0
sir wait mail,0
swt thought nver get tire littl thing lovabl person cozsomtim littl thing occupi biggest part heart gud ni,0
know pl open back,0
ye see ya dot,0
what staff name take class us,0
